city,fips_regions,lon,lat,state,zipcode
"Lowell",25,-71.3023,42.6568,"MA",1850
"Lowell",25,-71.3409,42.6326,"MA",1851
"Lowell",25,-71.2993,42.6303,"MA",1852
"Lowell",25,-71.3101,42.6496,"MA",1853
"Lowell",25,-71.3646,42.646,"MA",1854
"Merrimac",25,-71.0141,42.846,"MA",1860
"North Billerica",25,-71.3052,42.5698,"MA",1862
"North Chelmsford",25,-71.3884,42.6311,"MA",1863
"North Reading",25,-71.0854,42.5751,"MA",1864
"Pinehurst",25,-71.23,42.53,"MA",1866
"Reading",25,-71.1092,42.5413,"MA",1867
"Tewksbury",25,-71.2289,42.6183,"MA",1876
"Tyngsboro",25,-71.4181,42.6692,"MA",1879
"Wakefield",25,-71.0676,42.501,"MA",1880
"Westford",25,-71.4537,42.59,"MA",1886
"Wilmington",25,-71.1567,42.5683,"MA",1887
"Woburn",25,-71.13,42.51,"MA",1888
"North Reading",25,-71.1118,42.5728,"MA",1889
"Winchester",25,-71.1508,42.4488,"MA",1890
"Andover",25,-71.1375,42.6586,"MA",1899
"Lynn",25,-70.9473,42.4626,"MA",1901
"Lynn",25,-70.9398,42.472,"MA",1902
"Lynn",25,-70.95,42.46,"MA",1903
"Saugus",25,-71.0141,42.4682,"MA",1906
"Swampscott",25,-70.9131,42.4745,"MA",1907
"Nahant",25,-70.9235,42.4277,"MA",1908
"Lynn",25,-71.1242,42.7714,"MA",1910
"Amesbury",25,-70.9428,42.8526,"MA",1913
"Beverly",25,-70.8715,42.5762,"MA",1915
"Boxford",25,-71.0141,42.6763,"MA",1921
"Byfield",25,-70.919,42.7543,"MA",1922
"Danvers",25,-70.9428,42.5696,"MA",1923
"Essex",25,-70.7763,42.6353,"MA",1929
"Gloucester",25,-70.7049,42.604,"MA",1930
"Gloucester",25,-70.6627,42.6159,"MA",1931
"Hamilton",25,-70.86,42.62,"MA",1936
"Ipswich",25,-70.8477,42.6854,"MA",1938
"Lynnfield",25,-71.0438,42.5348,"MA",1940
"Manchester",25,-70.7763,42.5786,"MA",1944
"Marblehead",25,-70.8536,42.5116,"MA",1945
"Middleton",25,-71.0141,42.6007,"MA",1949
"Newburyport",25,-70.8893,42.8104,"MA",1950
"Newburyport",25,-70.8477,42.7797,"MA",1951
"Peabody",25,-70.9666,42.5358,"MA",1960
"Peabody",25,-70.9300,42.53,"MA",1961
"Rockport",25,-70.6276,42.6518,"MA",1966
"Rowley",25,-70.919,42.7166,"MA",1969
"Salem",25,-70.9131,42.5124,"MA",1970
"Salem",25,-70.8972,42.5195,"MA",1971
"South Hamilton",25,-70.8477,42.6288,"MA",1982
"Topsfield",25,-70.9428,42.6452,"MA",1983
"Wenham",25,-70.8774,42.6008,"MA",1984
"West Newbury",25,-70.9666,42.8002,"MA",1985
"Bellingham",25,-71.4656,42.0874,"MA",2019
"Ocean Bluff-Brant Rock",25,-70.6417,42.0863,"MA",2020
"Canton",25,-71.133,42.1842,"MA",2021
"Cohasset",25,-70.8239,42.2455,"MA",2025
"Dedham",25,-71.1805,42.2495,"MA",2026
"Dedham",25,-71.17,42.24,"MA",2027
"Dover",25,-71.2755,42.2274,"MA",2030
"East Walpole",25,-71.2102,42.1544,"MA",2032
"Franklin",25,-71.4062,42.0871,"MA",2038
"Green Harbor",25,-70.6500,42.0775,"MA",2041
"Hingham",25,-70.8833,42.2272,"MA",2043
"Hingham",25,-70.8789,42.2039,"MA",2044
"Hull",25,-70.8625,42.2688,"MA",2045
"Mansfield",25,-71.2289,42.0093,"MA",2048
"Marshfield",25,-70.7406,42.1263,"MA",2050
"Marshfield",25,-70.7405,42.1459,"MA",2051
"Medfield",25,-71.2993,42.1933,"MA",2052
"Medway",25,-71.4181,42.1559,"MA",2053
